order_id,payment_type,payment_installments,payment_value
ORD000066,credit_card,2,1605.79
ORD000067,credit_card,1,277.69
ORD000068,credit_card,2,1509.66
ORD000069,credit_card,2,126.28
ORD000070,credit_card,1,1616.97
ORD000071,credit_card,12,1362.42
ORD000072,credit_card,6,91.88
ORD000073,credit_card,1,1750.65
ORD000074,boleto,6,1526.38
ORD000075,boleto,6,100.99
ORD000076,credit_card,3,1671.8
ORD000077,boleto,3,1546.03
ORD000078,boleto,1,866.62
ORD000079,credit_card,1,1853.55
ORD000080,credit_card,1,1517.66
ORD000081,credit_card,3,1462.61
ORD000082,credit_card,3,1349.97
ORD000083,credit_card,1,238.75
ORD000084,credit_card,3,1020.9
ORD000085,credit_card,1,1026.56
ORD000086,credit_card,3,1038.46
ORD000087,debit_card,1,72.76
ORD000088,voucher,1,1629.78
ORD000089,boleto,3,587.24
ORD000090,credit_card,1,1904.35
ORD000091,boleto,12,980.87
ORD000092,credit_card,12,508.21
ORD000093,credit_card,1,1925.08
ORD000094,credit_card,3,1144.88
ORD000095,credit_card,2,1400.35
ORD000096,credit_card,3,1748.94
ORD000097,credit_card,2,334.48
ORD000098,credit_card,1,789.5
ORD000099,credit_card,6,1217.23
ORD000100,credit_card,1,1560.97
ORD000101,boleto,6,1838.98
ORD000102,credit_card,6,1864.88
ORD000103,credit_card,1,490.11
ORD000104,debit_card,1,1257.6
ORD000105,credit_card,3,1785.31
ORD000106,credit_card,1,1068.03
ORD000107,credit_card,1,1923.09
ORD000108,credit_card,1,900.81
ORD000109,credit_card,2,170.98
ORD000110,credit_card,3,1486.77
ORD000111,credit_card,1,1443.35
ORD000112,credit_card,6,137.37
ORD000113,credit_card,2,774.61
ORD000114,credit_card,3,1133.12
ORD000115,debit_card,12,1529.78
ORD000116,debit_card,3,1171.88
ORD000117,debit_card,3,1438.21
ORD000118,credit_card,2,1395.07
ORD000119,voucher,3,732.79
ORD000120,credit_card,1,901.52
ORD000121,credit_card,3,1017.87
ORD000122,boleto,6,1695.36
ORD000123,credit_card,3,378.63
ORD000124,credit_card,6,265.45
ORD000125,credit_card,1,910.23
ORD000126,credit_card,1,1453.02
ORD000127,credit_card,1,1912.28
ORD000128,credit_card,3,674.26
ORD000129,credit_card,2,841.27
ORD000130,credit_card,2,992.08
ORD000131,credit_card,1,1050.78
ORD000132,credit_card,6,967.15
ORD000133,credit_card,2,1348.51
ORD000134,boleto,6,889.1
ORD000135,credit_card,1,518.6
ORD000136,boleto,1,1412.52
ORD000137,voucher,2,1505.91
ORD000138,voucher,2,975.41
ORD000139,voucher,3,1769.95
ORD000140,credit_card,1,1996.42
ORD000141,credit_card,12,1554.97
ORD000142,credit_card,2,547.78
ORD000143,credit_card,1,1321.91
ORD000144,credit_card,1,664.16
ORD000145,boleto,6,556.25
ORD000146,credit_card,6,202.55
ORD000147,credit_card,3,476.59
ORD000148,debit_card,1,1348.52
ORD000149,credit_card,1,1130.18
ORD000150,boleto,1,1416.87
ORD000151,voucher,2,1424.03
ORD000152,credit_card,1,457.14
ORD000153,credit_card,6,1131.04
ORD000154,boleto,2,225.61
ORD000155,credit_card,6,85.35
ORD000156,credit_card,3,119.23
ORD000157,credit_card,1,1376.49
ORD000158,credit_card,2,1923.39
ORD000159,boleto,1,1773.6
ORD000160,credit_card,3,1763.21
ORD000161,credit_card,3,1957.98
ORD000162,boleto,6,1301.61
ORD000163,credit_card,12,812.37
ORD000164,boleto,2,274.39
ORD000165,credit_card,3,699.56
ORD000166,credit_card,12,1907.7
ORD000167,boleto,1,1304.83
ORD000168,voucher,1,1224.71
ORD000169,boleto,1,1367.87
ORD000170,credit_card,12,64.91
ORD000171,credit_card,2,1135.39
ORD000172,credit_card,3,1908.42
ORD000173,credit_card,3,1874.47
ORD000174,credit_card,1,1024.29
ORD000175,credit_card,2,790.78
ORD000176,credit_card,1,1840.46
ORD000177,voucher,1,56.46
ORD000178,credit_card,1,1848.86
ORD000179,debit_card,1,787.02
ORD000180,boleto,2,104.05
ORD000181,credit_card,1,173.95
ORD000182,credit_card,1,897.78
ORD000183,credit_card,1,1388.53
ORD000184,voucher,2,1878.07
ORD000185,credit_card,1,176.91
ORD000186,credit_card,3,727.74
ORD000187,credit_card,1,1039.37
ORD000188,credit_card,6,182.72
ORD000189,credit_card,1,782.7
ORD000190,credit_card,3,1081.94
ORD000191,credit_card,1,445.27
ORD000192,credit_card,3,339.6
ORD000193,credit_card,6,1407.58
ORD000194,voucher,6,890.44
ORD000195,credit_card,2,426.31
ORD000196,credit_card,12,884.32
ORD000197,credit_card,2,800.57
ORD000198,credit_card,1,269.97
ORD000199,boleto,2,745.42
ORD000200,credit_card,2,1356.68
ORD000201,boleto,12,1129.18
ORD000202,debit_card,6,1144.79
ORD000203,credit_card,3,1140.21
ORD000204,credit_card,2,1755.93
ORD000205,credit_card,1,1923.37
ORD000206,debit_card,2,1638.27
ORD000207,credit_card,2,636.59
ORD000208,credit_card,1,1440.83
ORD000209,credit_card,6,800.32
ORD000210,credit_card,1,195.87
ORD000211,credit_card,1,711.75
ORD000212,credit_card,1,605.57
ORD000213,credit_card,6,1527.88
ORD000214,boleto,6,1336.97
ORD000215,boleto,2,1447.54
ORD000216,boleto,3,1756.27
ORD000217,credit_card,1,1930.08
ORD000218,credit_card,2,1844.08
ORD000219,boleto,1,1929.67
ORD000220,credit_card,1,1369.51
ORD000221,credit_card,3,304.34
ORD000222,credit_card,6,173.58
ORD000223,boleto,3,1638.29
ORD000224,credit_card,1,361.87
ORD000225,credit_card,2,353.34
ORD000226,credit_card,1,1598.84
ORD000227,credit_card,1,1590.85
ORD000228,credit_card,3,1267.96
ORD000229,credit_card,1,1591.3
ORD000230,boleto,1,464.04
ORD000231,debit_card,12,936.59
ORD000232,credit_card,1,83.51
ORD000233,voucher,3,1381.6
ORD000234,boleto,3,125.89
ORD000235,credit_card,3,508.07
ORD000236,boleto,2,361.45
ORD000237,credit_card,2,1865.34
ORD000238,credit_card,1,1035.97
ORD000239,credit_card,6,915.58
ORD000240,credit_card,6,1575.68
ORD000241,credit_card,2,1403.44
ORD000242,credit_card,12,1897.08
ORD000243,credit_card,6,493.0
ORD000244,boleto,12,1498.1
ORD000245,credit_card,1,950.16
ORD000246,credit_card,1,899.55
ORD000247,voucher,1,1496.87
ORD000248,credit_card,1,1396.3
ORD000249,boleto,1,1279.22
ORD000250,credit_card,3,628.74
ORD000251,credit_card,1,250.58
ORD000252,debit_card,1,1122.68
ORD000253,credit_card,2,1721.86
ORD000254,boleto,1,771.38
ORD000255,credit_card,6,111.38
ORD000256,credit_card,2,296.46
ORD000257,credit_card,12,1556.57
ORD000258,credit_card,1,1237.6
ORD000259,boleto,3,581.34
ORD000260,boleto,2,62.13
ORD000261,boleto,1,1015.8
ORD000262,credit_card,1,561.27
ORD000263,credit_card,1,632.87
ORD000264,credit_card,2,205.25
ORD000265,credit_card,3,1960.85
ORD000266,boleto,1,1884.65
ORD000267,debit_card,6,1872.48
ORD000268,credit_card,1,1049.44
ORD000269,credit_card,1,1777.0
ORD000270,credit_card,2,546.18
ORD000271,credit_card,2,672.71
ORD000272,credit_card,6,353.78
ORD000273,credit_card,2,1838.91
ORD000274,credit_card,1,1654.5
ORD000275,debit_card,6,681.28
ORD000276,credit_card,3,1919.11
ORD000277,credit_card,3,1262.23
ORD000278,credit_card,3,548.48
ORD000279,credit_card,1,294.27
ORD000280,boleto,1,1043.56
ORD000281,credit_card,2,1996.27
ORD000282,boleto,1,1847.82
ORD000283,credit_card,1,555.55
ORD000284,credit_card,1,1790.79
ORD000285,boleto,6,1517.14
ORD000286,credit_card,1,1486.0
ORD000287,boleto,1,338.41
ORD000288,credit_card,1,1767.92
ORD000289,credit_card,1,1079.43
ORD000290,credit_card,1,890.79
ORD000291,voucher,3,261.66
ORD000292,boleto,6,461.61
ORD000293,credit_card,6,420.06
ORD000294,credit_card,2,1322.23
ORD000295,credit_card,3,71.04
ORD000296,credit_card,12,883.75
ORD000297,credit_card,3,1623.9
ORD000298,credit_card,1,1275.83
ORD000299,credit_card,1,493.19
ORD000300,credit_card,3,201.91
ORD000301,credit_card,1,1358.65
ORD000302,credit_card,3,1414.1
ORD000303,credit_card,1,1010.66
ORD000304,credit_card,1,1886.77
ORD000305,credit_card,2,1408.2
ORD000306,credit_card,1,1743.4
ORD000307,voucher,1,869.84
ORD000308,credit_card,3,1448.11
ORD000309,boleto,2,1259.9
ORD000310,voucher,1,1047.68
ORD000311,credit_card,2,1497.81
ORD000312,credit_card,6,293.18
ORD000313,credit_card,1,462.04
ORD000314,credit_card,6,1744.28
ORD000315,credit_card,1,1465.85
ORD000316,credit_card,3,393.05
ORD000317,credit_card,1,1852.36
ORD000318,credit_card,3,198.99
ORD000319,credit_card,2,278.53
ORD000320,credit_card,6,252.49
ORD000321,voucher,3,1192.33
ORD000322,credit_card,12,1891.92
ORD000323,debit_card,2,1121.08
ORD000324,credit_card,6,1342.15
ORD000325,boleto,1,145.22
ORD000326,credit_card,1,990.03
ORD000327,boleto,2,1161.46
ORD000328,voucher,1,1775.9
ORD000329,credit_card,2,452.89
ORD000330,voucher,2,1222.11
ORD000331,credit_card,1,1654.96
ORD000332,voucher,12,417.07
ORD000333,credit_card,6,1620.58
ORD000334,credit_card,3,1229.2
ORD000335,credit_card,1,1279.04
ORD000336,credit_card,3,1234.37
ORD000337,debit_card,2,1885.91
ORD000338,boleto,12,1632.93
ORD000339,credit_card,1,1652.77
ORD000340,credit_card,3,90.96
ORD000341,credit_card,6,84.87
ORD000342,credit_card,1,1528.37
ORD000343,credit_card,1,1811.86
ORD000344,credit_card,3,348.84
ORD000345,credit_card,1,1149.41
ORD000346,credit_card,6,1331.42
ORD000347,boleto,2,1344.59
ORD000348,credit_card,2,1037.61
ORD000349,credit_card,6,280.55
ORD000350,debit_card,2,282.45
ORD000351,voucher,2,510.63
ORD000352,credit_card,12,1540.64
ORD000353,credit_card,3,1849.56
ORD000354,credit_card,2,1306.38
ORD000355,boleto,6,1990.91
ORD000356,credit_card,1,1062.64
ORD000357,credit_card,6,399.51
ORD000358,boleto,2,1107.57
ORD000359,credit_card,12,1772.06
ORD000360,credit_card,1,770.05
ORD000361,credit_card,1,1449.77
ORD000362,credit_card,1,66.32
ORD000363,boleto,1,1958.42
ORD000364,boleto,1,1073.08
ORD000365,credit_card,1,1558.39
ORD000366,boleto,6,997.66
ORD000367,credit_card,1,1904.86
ORD000368,credit_card,2,1206.3
ORD000369,credit_card,3,1025.48
ORD000370,credit_card,1,941.69
ORD000371,credit_card,1,1135.14
ORD000372,boleto,1,1159.29
ORD000373,credit_card,1,397.86
ORD000374,boleto,3,603.23
ORD000375,credit_card,6,559.47
ORD000376,credit_card,1,359.09
ORD000377,credit_card,1,439.29
ORD000378,boleto,6,721.54
ORD000379,credit_card,12,1171.01
ORD000380,credit_card,6,1458.52
ORD000381,credit_card,2,1285.77
ORD000382,credit_card,1,794.09
ORD000383,boleto,1,1052.84
ORD000384,credit_card,1,105.1
ORD000385,credit_card,6,1464.86
ORD000386,credit_card,1,1572.18
ORD000387,credit_card,3,412.24
ORD000388,credit_card,1,1556.38
ORD000389,credit_card,3,107.1
ORD000390,credit_card,12,333.21
ORD000391,credit_card,2,128.8
ORD000392,credit_card,12,994.91
ORD000393,credit_card,3,776.65
ORD000394,credit_card,1,1968.21
ORD000395,debit_card,2,1602.33
ORD000396,credit_card,2,1860.7
ORD000397,credit_card,1,1856.73
ORD000398,voucher,2,1298.91
ORD000399,voucher,1,1131.13
ORD000400,boleto,1,1127.28
ORD000401,credit_card,6,226.74
ORD000402,credit_card,2,954.09
ORD000403,credit_card,6,1104.72
ORD000404,credit_card,1,1122.67
ORD000405,credit_card,3,1707.42
ORD000406,credit_card,1,453.93
ORD000407,boleto,6,833.24
ORD000408,credit_card,2,1312.52
ORD000409,credit_card,2,1233.26
ORD000410,credit_card,6,260.14
ORD000411,credit_card,2,1796.34
ORD000412,credit_card,6,813.71
ORD000413,credit_card,2,1541.03
ORD000414,credit_card,1,781.62
ORD000415,credit_card,3,1370.42
ORD000416,credit_card,1,1454.82
ORD000417,credit_card,2,258.03
ORD000418,credit_card,1,155.42
ORD000419,credit_card,1,530.62
ORD000420,credit_card,1,578.8
ORD000421,credit_card,1,1708.1
ORD000422,credit_card,1,1780.71
ORD000423,boleto,1,1928.22
ORD000424,credit_card,3,682.51
ORD000425,credit_card,2,871.69
ORD000426,credit_card,1,1155.04
ORD000427,credit_card,3,1773.36
ORD000428,credit_card,1,417.14
ORD000429,voucher,2,1523.26
ORD000430,credit_card,12,1818.83
ORD000431,voucher,3,420.62
ORD000432,credit_card,12,558.13
ORD000433,voucher,3,1380.63
ORD000434,credit_card,3,163.5
ORD000435,credit_card,6,1355.61
ORD000436,credit_card,6,189.77
ORD000437,voucher,1,974.2
ORD000438,credit_card,1,1961.89
ORD000439,debit_card,12,1771.97
ORD000440,credit_card,12,786.71
ORD000441,credit_card,1,1620.14
ORD000442,credit_card,1,1907.03
ORD000443,boleto,1,618.19
ORD000444,credit_card,3,1336.88
ORD000445,credit_card,1,808.53
ORD000446,credit_card,1,1062.88
ORD000447,credit_card,1,572.84
ORD000448,voucher,1,1191.35
ORD000449,credit_card,2,1073.0
ORD000450,credit_card,2,1232.87
ORD000451,credit_card,2,1855.48
ORD000452,credit_card,2,733.24
ORD000453,boleto,12,289.64
ORD000454,boleto,6,992.62
ORD000455,voucher,3,799.09
ORD000456,credit_card,1,237.03
ORD000457,credit_card,6,1744.22
ORD000458,credit_card,1,1880.76
ORD000459,credit_card,1,375.17
ORD000460,credit_card,1,467.43
ORD000461,voucher,1,1298.9
ORD000462,credit_card,3,1793.94
ORD000463,credit_card,3,1834.33
ORD000464,credit_card,1,864.7
ORD000465,credit_card,1,785.18
ORD000466,credit_card,3,733.98
ORD000467,credit_card,3,702.74
ORD000468,credit_card,1,736.23
ORD000469,boleto,12,396.62
ORD000470,credit_card,1,1532.89
ORD000471,credit_card,3,1574.2
ORD000472,credit_card,1,1959.34
ORD000473,credit_card,1,94.63
ORD000474,credit_card,6,1359.82
ORD000475,credit_card,12,612.97
ORD000476,credit_card,12,898.07
ORD000477,credit_card,1,1613.69
ORD000478,credit_card,1,579.1
ORD000479,voucher,2,1052.6
ORD000480,debit_card,3,1969.22
ORD000481,credit_card,12,1090.95
ORD000482,credit_card,2,1420.67
ORD000483,credit_card,1,1373.85
ORD000484,boleto,1,1453.81
ORD000485,boleto,3,179.32
ORD000486,debit_card,2,263.22
ORD000487,credit_card,12,604.23
ORD000488,credit_card,3,907.28
ORD000489,credit_card,2,666.63
ORD000490,credit_card,1,835.18
ORD000491,credit_card,6,1907.33
ORD000492,credit_card,1,892.92
ORD000493,voucher,1,466.53
ORD000494,credit_card,6,895.58
ORD000495,credit_card,6,1411.27
ORD000496,credit_card,2,73.18
ORD000497,credit_card,12,120.79
ORD000498,boleto,1,1039.06
ORD000499,credit_card,2,1334.36
ORD000500,credit_card,2,1889.03
ORD000501,voucher,3,1906.41
ORD000502,credit_card,2,1314.27
ORD000503,credit_card,1,142.19
ORD000504,credit_card,3,876.76
ORD000505,credit_card,2,1934.0
ORD000506,boleto,3,1414.74
ORD000507,credit_card,1,1538.58
ORD000508,credit_card,1,957.05
ORD000509,credit_card,1,586.19
ORD000510,boleto,1,903.3
ORD000511,boleto,2,1902.76
ORD000512,credit_card,3,469.32
ORD000513,boleto,1,630.02
ORD000514,credit_card,2,62.65
ORD000515,boleto,1,1428.39
ORD000516,boleto,1,940.16
ORD000517,boleto,2,674.92
ORD000518,credit_card,1,707.62
ORD000519,credit_card,12,107.96
ORD000520,credit_card,12,1405.15
ORD000521,credit_card,3,1360.63
ORD000522,boleto,3,439.02
ORD000523,credit_card,1,429.64
ORD000524,voucher,12,1949.46
ORD000525,boleto,12,1561.43
ORD000526,credit_card,3,1735.28
ORD000527,debit_card,2,1998.44
ORD000528,credit_card,1,1505.36
ORD000529,boleto,12,1964.35
ORD000530,boleto,2,966.36
ORD000531,boleto,3,311.47
ORD000532,credit_card,3,1384.36
ORD000533,credit_card,2,1414.29
ORD000534,credit_card,1,1263.67
ORD000535,debit_card,2,873.62
ORD000536,credit_card,1,486.94
ORD000537,credit_card,1,1026.92
ORD000538,credit_card,1,1037.81
ORD000539,boleto,1,507.06
ORD000540,credit_card,3,551.79
ORD000541,boleto,12,1538.22
ORD000542,credit_card,2,812.88
ORD000543,credit_card,6,292.23
ORD000544,credit_card,12,1373.11
ORD000545,credit_card,3,288.58
ORD000546,credit_card,3,1503.37
ORD000547,credit_card,6,1696.88
ORD000548,debit_card,1,1936.06
ORD000549,credit_card,3,346.73
ORD000550,debit_card,1,454.77
ORD000551,credit_card,3,379.99
ORD000552,boleto,1,1843.81
ORD000553,credit_card,2,139.67
ORD000554,boleto,2,1420.27
ORD000555,credit_card,3,1591.94
ORD000556,credit_card,6,1703.93
ORD000557,credit_card,6,1272.57
ORD000558,credit_card,2,706.04
ORD000559,debit_card,12,973.8
ORD000560,credit_card,3,1390.79
ORD000561,credit_card,2,598.58
ORD000562,credit_card,2,325.02
ORD000563,credit_card,3,112.38
ORD000564,credit_card,1,1686.14
ORD000565,credit_card,3,312.18
ORD000566,boleto,3,1511.91
ORD000567,credit_card,1,221.02
ORD000568,credit_card,6,1061.03
ORD000569,credit_card,6,815.49
ORD000570,boleto,6,1045.91
ORD000571,boleto,2,966.32
ORD000572,credit_card,1,828.61
ORD000573,credit_card,1,1499.06
ORD000574,credit_card,3,140.1
ORD000575,credit_card,2,1571.9
ORD000576,credit_card,2,1114.15
ORD000577,credit_card,3,601.48
ORD000578,credit_card,6,904.9
ORD000579,credit_card,3,1447.52
ORD000580,credit_card,2,1459.75
ORD000581,boleto,2,260.74
ORD000582,credit_card,3,1826.34
ORD000583,credit_card,1,1652.17
ORD000584,credit_card,1,1392.9
ORD000585,debit_card,6,296.37
ORD000586,credit_card,12,205.17
ORD000587,credit_card,2,743.85
ORD000588,credit_card,6,1808.17
ORD000589,credit_card,3,1509.02
ORD000590,credit_card,12,251.33
ORD000591,boleto,2,427.45
ORD000592,credit_card,1,264.49
ORD000593,credit_card,3,577.71
ORD000594,credit_card,1,380.59
ORD000595,credit_card,6,1099.77
ORD000596,credit_card,6,1540.18
ORD000597,boleto,12,960.43
ORD000598,credit_card,2,1412.31
ORD000599,credit_card,12,576.69
ORD000600,credit_card,2,1601.02
ORD000601,credit_card,1,563.13
ORD000602,debit_card,1,504.38
ORD000603,voucher,3,921.05
ORD000604,credit_card,6,253.63
ORD000605,credit_card,1,1605.82
ORD000606,boleto,1,1622.29
ORD000607,credit_card,12,833.69
ORD000608,debit_card,1,1097.87
ORD000609,credit_card,6,434.03
ORD000610,credit_card,1,1982.05
ORD000611,voucher,1,971.4
ORD000612,credit_card,1,500.24
ORD000613,credit_card,1,959.94
ORD000614,credit_card,1,699.12
ORD000615,credit_card,6,266.54
ORD000616,debit_card,1,1676.31
ORD000617,credit_card,2,1958.78
ORD000618,credit_card,1,921.95
ORD000619,boleto,1,924.19
ORD000620,credit_card,3,1883.18
ORD000621,boleto,1,1500.94
ORD000622,credit_card,1,1211.15
ORD000623,credit_card,1,444.08
ORD000624,boleto,3,1757.97
ORD000625,credit_card,1,1318.55
ORD000626,credit_card,1,1220.15
ORD000627,credit_card,1,100.43
ORD000628,credit_card,2,194.5
ORD000629,boleto,1,533.15
ORD000630,credit_card,6,876.72
ORD000631,debit_card,1,1049.89
ORD000632,credit_card,3,1383.21
ORD000633,voucher,3,1461.85
ORD000634,boleto,2,696.53
ORD000635,credit_card,2,577.19
ORD000636,credit_card,6,1605.47
ORD000637,credit_card,12,361.37
ORD000638,debit_card,1,477.88
ORD000639,debit_card,1,528.1
ORD000640,boleto,1,1382.65
ORD000641,credit_card,3,930.97
ORD000642,credit_card,6,1344.58
ORD000643,boleto,12,1882.31
ORD000644,boleto,1,578.64
ORD000645,debit_card,1,250.84
ORD000646,credit_card,1,1672.6
ORD000647,voucher,3,705.63
ORD000648,credit_card,1,1923.56
ORD000649,credit_card,1,1090.06
ORD000650,credit_card,1,856.65
ORD000651,credit_card,1,472.32
ORD000652,credit_card,6,576.54
ORD000653,debit_card,1,344.15
ORD000654,boleto,6,767.37
ORD000655,credit_card,12,1516.49
ORD000656,credit_card,2,1844.94
ORD000657,credit_card,6,113.78
ORD000658,credit_card,6,522.51
ORD000659,credit_card,6,1785.09
ORD000660,credit_card,12,942.43
ORD000661,credit_card,3,675.28
ORD000662,boleto,1,711.62
ORD000663,credit_card,2,557.07
ORD000664,credit_card,2,1987.5
ORD000665,credit_card,2,607.7
ORD000666,credit_card,3,1693.63
ORD000667,boleto,2,601.35
ORD000668,credit_card,2,182.28
ORD000669,credit_card,3,57.36
ORD000670,credit_card,1,1903.99
ORD000671,credit_card,1,1385.93
ORD000672,credit_card,2,1174.8
ORD000673,credit_card,1,1201.75
ORD000674,debit_card,3,1063.63
ORD000675,credit_card,3,700.91
ORD000676,credit_card,1,844.44
ORD000677,boleto,1,58.9
ORD000678,boleto,12,1373.84
ORD000679,credit_card,1,841.68
ORD000680,credit_card,1,864.59
ORD000681,boleto,1,1336.06
ORD000682,credit_card,3,811.28
ORD000683,credit_card,1,912.35
ORD000684,credit_card,12,449.04
ORD000685,credit_card,3,1183.84
ORD000686,boleto,1,1494.31
ORD000687,credit_card,1,1012.16
ORD000688,credit_card,1,1098.09
ORD000689,credit_card,2,1876.35
ORD000690,credit_card,2,807.79
ORD000691,credit_card,6,1443.66
ORD000692,credit_card,1,1742.58
ORD000693,boleto,1,1422.98
ORD000694,voucher,6,1804.23
ORD000695,credit_card,6,1184.07
ORD000696,credit_card,6,1214.73
ORD000697,credit_card,2,1443.43
ORD000698,credit_card,12,1155.67
ORD000699,credit_card,1,1485.16
ORD000700,credit_card,12,1874.73
ORD000701,credit_card,12,1897.05
ORD000702,voucher,6,1276.37
ORD000703,credit_card,1,1635.66
ORD000704,credit_card,2,1024.75
ORD000705,credit_card,1,1814.55
ORD000706,boleto,1,1174.07
ORD000707,credit_card,1,1976.6
ORD000708,boleto,3,1895.8
ORD000709,credit_card,3,1414.13
ORD000710,credit_card,3,1064.64
ORD000711,credit_card,1,1765.49
ORD000712,credit_card,3,260.85
ORD000713,credit_card,1,1526.42
ORD000714,credit_card,1,837.44
ORD000715,credit_card,6,304.1
ORD000716,credit_card,6,60.65
ORD000717,credit_card,2,1499.33
ORD000718,credit_card,6,209.39
ORD000719,credit_card,6,701.89
ORD000720,credit_card,6,1375.81
ORD000721,boleto,2,1445.15
ORD000722,credit_card,6,1428.36
ORD000723,boleto,1,558.46
ORD000724,credit_card,1,820.75
ORD000725,credit_card,1,607.52
ORD000726,credit_card,1,541.89
ORD000727,credit_card,3,676.77
ORD000728,credit_card,6,1397.64
ORD000729,credit_card,1,426.88
ORD000730,credit_card,1,1461.1
ORD000731,credit_card,3,397.18
ORD000732,boleto,1,1874.53
ORD000733,credit_card,3,1834.75
ORD000734,credit_card,6,691.43
ORD000735,credit_card,3,762.66
ORD000736,credit_card,1,1314.92
ORD000737,credit_card,1,958.82
ORD000738,credit_card,3,1068.63
ORD000739,boleto,1,1065.21
ORD000740,credit_card,1,1338.13
ORD000741,credit_card,6,1026.66
ORD000742,credit_card,1,1133.77
ORD000743,credit_card,1,1682.17
ORD000744,credit_card,1,72.45
ORD000745,debit_card,6,1668.36
ORD000746,credit_card,1,779.94
ORD000747,boleto,1,695.91
ORD000748,boleto,1,984.34
ORD000749,credit_card,1,402.91
ORD000750,credit_card,6,105.48
ORD000751,credit_card,6,1089.7
ORD000752,credit_card,2,1162.03
ORD000753,credit_card,1,340.96
ORD000754,debit_card,2,642.37
ORD000755,credit_card,6,1991.43
ORD000756,credit_card,6,1340.56
ORD000757,credit_card,1,1737.9
ORD000758,credit_card,2,233.45
ORD000759,credit_card,1,627.54
ORD000760,credit_card,1,392.37
ORD000761,credit_card,1,1430.28
ORD000762,boleto,1,425.42
ORD000763,credit_card,1,1031.45
ORD000764,boleto,6,1051.81
ORD000765,boleto,1,1588.44
ORD000766,credit_card,3,529.54
ORD000767,boleto,2,1454.96
ORD000768,credit_card,1,1738.73
ORD000769,credit_card,6,397.33
ORD000770,credit_card,3,581.46
ORD000771,credit_card,2,355.98
ORD000772,credit_card,6,1126.73
ORD000773,credit_card,6,627.72
ORD000774,credit_card,3,112.09
ORD000775,credit_card,2,1489.55
ORD000776,voucher,1,1164.93
ORD000777,boleto,2,1233.5
ORD000778,boleto,1,867.58
ORD000779,voucher,1,1008.81
ORD000780,credit_card,12,1081.36
ORD000781,credit_card,1,1784.66
ORD000782,boleto,6,505.72
ORD000783,credit_card,1,957.55
ORD000784,credit_card,6,1691.04
ORD000785,credit_card,3,262.76
ORD000786,credit_card,6,1873.91
ORD000787,credit_card,3,73.23
ORD000788,credit_card,2,317.43
ORD000789,credit_card,1,1657.57
ORD000790,credit_card,1,669.44
ORD000791,credit_card,3,1162.14
ORD000792,credit_card,12,1109.77
ORD000793,boleto,1,1865.03
ORD000794,boleto,1,693.43
ORD000795,credit_card,6,60.72
ORD000796,credit_card,1,1833.31
ORD000797,boleto,1,342.76
ORD000798,credit_card,12,1017.22
ORD000799,credit_card,2,119.15
ORD000800,credit_card,1,379.08
ORD000801,boleto,3,1846.99
ORD000802,boleto,6,1395.03
ORD000803,credit_card,1,511.78
ORD000804,credit_card,1,1698.23
ORD000805,credit_card,2,1721.82
ORD000806,credit_card,6,954.71
